Epoch,training_MAE,tuning_MAE
1,2557.536961,2424.075185
2,1460.426709,2312.811334
3,2123.478121,1886.104485
4,1642.336241,2085.844502
5,1621.727026,1878.860089
6,1819.562412,2022.774361
7,1462.401016,1585.874974
8,1016.278903,1658.091125
9,1238.170955,1217.392451
10,1107.488349,1320.521672
11,1015.666273,1210.744182
12,905.9359393,1607.797744
13,1032.285906,1349.203273
14,857.3320986,1450.257413
15,1226.775101,1029.381356
16,1120.109414,1428.586113
17,800.0041702,1408.865777
18,1199.34833,1180.718094
19,1052.018764,1062.855146
20,892.6086549,1034.781458
21,938.3698102,1430.797747
22,966.5912547,1373.774267
23,878.5138685,932.276956
24,750.6439816,1375.290312
25,690.7222209,1206.884408
26,970.4579633,1291.526508
27,851.9416545,994.4286547
28,921.567718,1227.192248
29,743.1544,1173.596621
30,841.3473526,1058.358946
31,631.4221486,860.2884521
32,905.3569258,1152.167486
33,663.5426896,1051.637103
34,827.9475769,835.9115008
35,574.3741826,873.7525181
36,777.199404,883.4342993
37,722.6593391,788.9122245
38,569.7494153,824.612084
39,662.9609453,813.6761758
40,586.5729675,853.1239509
41,599.6329902,907.0001879
42,737.528929,819.1392945
43,574.8017928,902.6730801
44,634.3307446,837.313335
45,628.8864627,935.4666308
46,578.7418628,729.2474056
47,530.2955673,912.4199104
48,559.5718642,727.8017092
49,471.7581206,868.9113895
50,437.9089374,748.2158077
51,538.5809898,866.6285077
52,536.8931477,677.5174675
53,427.3650021,806.5313781
54,438.7471845,685.7307895
55,480.0875355,734.7008496
56,446.0977812,600.1443085
57,447.9221003,578.6022707
58,592.5375744,689.0579505
59,412.183005,688.8124009
60,435.2037972,678.7837058
61,465.6356356,633.4881378
62,446.6141901,635.3136638
63,424.566881,656.2198578
64,390.2998577,629.3123825
65,444.5760807,537.6859208
66,394.3003358,612.830791
67,438.7946983,619.1768082
68,464.3722453,623.9323153
69,448.0415164,641.28944
70,507.4286423,513.8081327
71,372.2127289,584.4759837
72,367.9437973,671.6300106
73,409.4155807,566.6486757
74,422.0386609,486.3495633
75,394.4534686,574.0705562
76,392.8458589,615.6058778
77,345.5400481,507.114396
78,368.484479,541.9384968
79,347.4702266,550.2023131
80,335.6714319,535.844946
81,322.9427439,479.2673292
82,315.1479378,569.2059973
83,383.5185329,548.1354835
84,347.0894749,432.2319499
85,264.5739461,478.2018026
86,312.2709628,508.125339
87,381.0941627,474.7833615
88,332.4439139,512.999731
89,279.0205473,466.8759156
90,354.14384,489.488812
91,282.1943916,477.0625924
92,303.6208314,436.7824549
93,275.4604273,464.1227922
94,292.1812909,502.7888576
95,308.8262607,456.2893925
96,283.9424213,437.3889775
97,279.5942474,514.075635
98,305.771561,476.3693864
99,235.0562358,433.5889778
100,248.647598,448.1263149
